time,open,high,low,close,Volume
1751573100,40090.5,40095.5,40087.5,40087.5,NaN
1751573400,40087.5,40087.5,40085.5,40085.5,NaN
1751573700,40085.5,40085.5,40080.5,40082.5,NaN
1751574000,40082.5,40082.5,40072.5,40072.5,NaN
1751574300,40072.5,40077.5,40072.5,40077.5,NaN
1751574600,40077.5,40092.5,40077.5,40092.5,NaN
1751574900,40092.5,40095.5,40092.5,40092.5,NaN
1751575200,40092.5,40092.5,40087.5,40090.5,NaN
1751575500,40090.5,40097.5,40087.5,40097.5,NaN
1751575800,40097.5,40112.5,40097.5,40112.5,NaN
1751576100,40112.5,40112.5,40092.5,40112.5,NaN
1751580000,40112.5,40135.5,40057.5,40077.5,NaN
1751580300,40077.5,40105.5,40075.5,40082.5,NaN
1751580600,40082.5,40090.5,40080.5,40082.5,NaN
1751580900,40082.5,40110.5,40080.5,40100.5,NaN
1751581200,40100.5,40110.5,40095.5,40102.5,NaN
1751581500,40102.5,40105.5,40077.5,40077.5,NaN
1751581800,40077.5,40087.5,40042.5,40060.5,NaN
1751582100,40060.5,40060.5,40030.5,40030.5,NaN
1751582400,40030.5,40032.5,40015.5,40017.5,NaN
1751582700,40017.5,40027.5,40012.5,40015.5,NaN
1751583000,40015.5,40015.5,39995.5,39995.5,NaN
1751583300,39995.5,39995.5,39980.5,39980.5,NaN
1751583600,39980.5,40030.5,39975.5,40020.5,NaN
1751583900,40020.5,40020.5,39985.5,40000.5,NaN
1751584200,40000.5,40010.5,39985.5,39997.5,NaN
1751584500,39997.5,40007.5,39995.5,39995.5,NaN
1751584800,39995.5,40010.5,39995.5,40000.5,NaN
1751585100,40000.5,40010.5,39995.5,39997.5,NaN
1751585400,39997.5,40005.5,39960.5,39972.5,NaN
1751585700,39972.5,39990.5,39967.5,39972.5,NaN
1751586000,39972.5,39972.5,39920.5,39955.5,NaN
1751586300,39955.5,39995.5,39955.5,39965.5,NaN
1751586600,39965.5,39972.5,39942.5,39957.5,NaN
1751586900,39957.5,39970.5,39932.5,39960.5,NaN
1751587200,39960.5,39995,39928,39930,NaN
1751587500,39930,39933,39855,39883,NaN
1751587800,39883,39885,39790,39805,NaN
1751588100,39805,39808,39713,39778,NaN
1751588400,39778,39800,39755,39773,NaN
1751588700,39773,39810,39768,39798,NaN
1751589000,39798,39828,39790,39793,NaN
1751589300,39793,39853,39793,39850,NaN
1751589600,39850,39855,39810,39818,NaN
1751589900,39818,39848,39808,39840,NaN
