time,open,high,low,close,Volume
1759264500,44784.5,44786.5,44769.5,44776.5,NaN
1759264800,44776.5,44779.5,44769.5,44771.5,NaN
1759265100,44771.5,44774.5,44751.5,44759.5,NaN
1759265400,44759.5,44786.5,44759.5,44781.5,NaN
1759265700,44781.5,44819.5,44781.5,44809.5,NaN
1759269600,44809.5,44884.5,44809.5,44859.5,NaN
1759269900,44859.5,44859.5,44824.5,44831.5,NaN
1759270200,44831.5,44851.5,44831.5,44849.5,NaN
1759270500,44849.5,44869.5,44849.5,44864.5,NaN
1759270800,44864.5,44866.5,44851.5,44864.5,NaN
1759271100,44864.5,44876.5,44864.5,44874.5,NaN
1759271400,44874.5,44889.5,44874.5,44881.5,NaN
1759271700,44881.5,44881.5,44871.5,44876.5,NaN
1759272000,44876.5,44879.5,44876.5,44879.5,NaN
1759272300,44879.5,44884.5,44879.5,44879.5,NaN
1759272600,44879.5,44879.5,44861.5,44874.5,NaN
1759272900,44874.5,44874.5,44834.5,44849.5,NaN
1759273200,44849.5,44869.5,44834.5,44834.5,NaN
1759273500,44834.5,44839.5,44831.5,44836.5,NaN
1759273800,44836.5,44839.5,44831.5,44836.5,NaN
1759274100,44836.5,44841.5,44824.5,44839.5,NaN
1759274400,44839.5,44859.5,44831.5,44854.5,NaN
1759274700,44854.5,44854.5,44836.5,44841.5,NaN
1759275000,44841.5,44851.5,44819.5,44834.5,NaN
1759275300,44834.5,44839.5,44821.5,44824.5,NaN
1759275600,44824.5,44824.5,44789.5,44794.5,NaN
1759275900,44794.5,44809.5,44739.5,44741.5,NaN
1759276200,44741.5,44764.5,44719.5,44761.5,NaN
1759276500,44761.5,44789.5,44739.5,44789.5,NaN
1759276800,44789.5,44884,44759,44837,NaN
1759277100,44837,44859,44729,44777,NaN
1759277400,44777,44799,44632,44632,NaN
1759277700,44632,44659,44544,44574,NaN
1759278000,44574,44579,44469,44469,NaN
1759278300,44469,44555,44462,44555,NaN
1759278600,44555,44650,44550,44650,NaN
1759278900,44650,44713,44615,44620,NaN
1759279200,44620,44725,44620,44713,NaN
1759279500,44713,44740,44665,44680,NaN
1759279800,44680,44713,44665,44705,NaN
1759280100,44705,44725,44648,44665,NaN
1759280400,44665,44688,44610,44685,NaN
1759280700,44685,44723,44635,44650,NaN
1759281000,44650,44660,44593,44615,NaN
