time,open,high,low,close,Volume
1752697200,39544.5,39549.5,39542.5,39547.5,NaN
1752697500,39547.5,39547.5,39542.5,39542.5,NaN
1752697800,39542.5,39554.5,39542.5,39549.5,NaN
1752698100,39549.5,39559.5,39549.5,39559.5,NaN
1752698400,39559.5,39562.5,39554.5,39562.5,NaN
1752698700,39562.5,39562.5,39549.5,39549.5,NaN
1752699000,39549.5,39552.5,39539.5,39552.5,NaN
1752699300,39552.5,39569.5,39552.5,39559.5,NaN
1752703200,39559.5,39572.5,39547.5,39549.5,NaN
1752703500,39549.5,39564.5,39539.5,39549.5,NaN
1752703800,39549.5,39552.5,39529.5,39544.5,NaN
1752704100,39544.5,39557.5,39537.5,39552.5,NaN
1752704400,39552.5,39567.5,39552.5,39559.5,NaN
1752704700,39559.5,39559.5,39549.5,39549.5,NaN
1752705000,39549.5,39552.5,39544.5,39547.5,NaN
1752705300,39547.5,39557.5,39547.5,39552.5,NaN
1752705600,39552.5,39562.5,39544.5,39557.5,NaN
1752705900,39557.5,39559.5,39537.5,39542.5,NaN
1752706200,39542.5,39549.5,39542.5,39547.5,NaN
1752706500,39547.5,39549.5,39537.5,39547.5,NaN
1752706800,39547.5,39557.5,39544.5,39557.5,NaN
1752707100,39557.5,39557.5,39549.5,39552.5,NaN
1752707400,39552.5,39557.5,39552.5,39557.5,NaN
1752707700,39557.5,39557.5,39539.5,39539.5,NaN
1752708000,39539.5,39542.5,39532.5,39542.5,NaN
1752708300,39542.5,39544.5,39524.5,39524.5,NaN
1752708600,39524.5,39534.5,39492.5,39497.5,NaN
1752708900,39497.5,39499.5,39449.5,39454.5,NaN
1752709200,39454.5,39494.5,39452.5,39477.5,NaN
1752709500,39477.5,39519.5,39462.5,39467.5,NaN
1752709800,39467.5,39467.5,39417.5,39427.5,NaN
1752710100,39427.5,39437.5,39409.5,39432.5,NaN
1752710400,39432.5,39512,39397,39490,NaN
1752710700,39490,39505,39397,39407,NaN
1752711000,39407,39447,39382,39400,NaN
1752711300,39400,39422,39352,39357,NaN
1752711600,39357,39437,39357,39437,NaN
1752711900,39437,39510,39437,39507,NaN
1752712200,39507,39512,39457,39492,NaN
1752712500,39492,39495,39462,39487,NaN
1752712800,39487,39540,39482,39535,NaN
1752713100,39535,39550,39510,39540,NaN
1752713400,39540,39552,39517,39535,NaN
1752713700,39535,39537,39507,39527,NaN
1752714000,39527,39595,39525,39575,NaN
1752714300,39575,39592,39557,39567,NaN
1752714600,39567,39595,39552,39585,NaN
1752714900,39585,39597,39570,39587,NaN
1752715200,39587,39630,39585,39620,NaN
1752715500,39620,39627,39607,39615,NaN
1752715800,39615,39620,39560,39560,NaN
1752716100,39560,39570,39515,39535,NaN
1752716400,39535,39562,39532,39562,NaN
1752716700,39562,39575,39540,39550,NaN
1752717000,39550,39570,39535,39557,NaN
1752717300,39557,39577,39557,39577,NaN
1752717600,39577,39580,39557,39567,NaN
1752717900,39567,39577,39547,39560,NaN
1752718200,39560,39572,39545,39562,NaN
1752718500,39562,39587,39555,39587,NaN
1752718800,39587,39612,39587,39607,NaN
1752719100,39607,39620,39605,39610,NaN
1752719400,39610,39635,39602,39635,NaN
1752719700,39635,39640,39625,39630,NaN
1752720000,39630,39645,39622,39640,NaN
1752720300,39640,39642,39635,39640,NaN
1752720600,39640,39647,39635,39640,NaN
1752720900,39640,39645,39637,39645,NaN
1752721200,39645,39645,39602,39605,NaN
1752721500,39605,39615,39600,39612,NaN
1752721800,39612,39620,39607,39612,NaN
1752722100,39612,39660,39612,39655,NaN
1752722400,39655,39660,39645,39655,NaN
1752722700,39655,39665,39650,39660,NaN
1752723000,39660,39687,39660,39675,NaN
1752723300,39675,39722,39670,39720,NaN
1752723600,39720,39750,39720,39745,NaN
1752723900,39745,39777,39740,39772,NaN
1752724200,39772,39795,39765,39770,NaN
1752724500,39770,39800,39770,39795,NaN
1752724800,39795,39795,39750,39760,NaN
1752725100,39760,39780,39760,39772,NaN
1752725400,39772,39787,39770,39777,NaN
1752725700,39777,39777,39742,39742,NaN
1752726000,39742,39757,39740,39740,NaN
1752726300,39740,39755,39735,39735,NaN
1752726600,39735,39735,39710,39720,NaN
1752726900,39720,39727,39710,39710,NaN
1752727200,39710,39740,39702,39737,NaN
1752727500,39737,39737,39720,39730,NaN
1752727800,39730,39742,39720,39737,NaN
1752728100,39737,39750,39735,39740,NaN
1752728400,39740,39765,39732,39762,NaN
1752728700,39762,39765,39742,39745,NaN
1752729000,39745,39747,39715,39725,NaN
1752729300,39725,39740,39718,39720,NaN
1752729600,39720,39750,39720,39745,NaN
1752729900,39745,39768,39743,39763,NaN
1752730200,39763,39810,39758,39780,NaN
1752730500,39780,39813,39768,39808,NaN
1752730800,39808,39808,39775,39790,NaN
1752731100,39790,39793,39765,39788,NaN
1752731400,39788,39838,39788,39813,NaN
1752731700,39813,39825,39793,39805,NaN
1752732000,39805,39848,39805,39848,NaN
1752732300,39848,39905,39843,39865,NaN
1752732600,39865,39888,39853,39888,NaN
1752732900,39888,39918,39885,39903,NaN
1752733200,39903,39908,39878,39903,NaN
1752733500,39903,39928,39893,39923,NaN
1752733800,39923,39923,39883,39905,NaN
1752734100,39905,39940,39905,39923,NaN
1752734400,39923,39948,39915,39943,NaN
1752734700,39943,39943,39905,39913,NaN
1752735000,39913,39918,39905,39913,NaN
1752735300,39913,39913,39888,39898,NaN
1752735600,39898,39907.5,39880.5,39897.5,NaN
1752735900,39897.5,39900.5,39857.5,39867.5,NaN
1752736200,39867.5,39892.5,39857.5,39882.5,NaN
1752736500,39882.5,39905.5,39850.5,39855.5,NaN
1752736800,39855.5,39860.5,39842.5,39847.5,NaN
1752737100,39847.5,39862.5,39840.5,39852.5,NaN
1752737400,39852.5,39877.5,39852.5,39865.5,NaN
1752737700,39865.5,39887.5,39855.5,39887.5,NaN
1752738000,39887.5,39895.5,39867.5,39872.5,NaN
1752738300,39872.5,39877.5,39845.5,39852.5,NaN
1752738600,39852.5,39872.5,39850.5,39870.5,NaN
1752738900,39870.5,39882.5,39862.5,39872.5,NaN
1752739200,39872.5,39882.5,39842.5,39877.5,NaN
1752739500,39877.5,39910.5,39877.5,39900.5,NaN
1752739800,39900.5,39912.5,39882.5,39885.5,NaN
1752740100,39885.5,39907.5,39882.5,39887.5,NaN
1752740400,39887.5,39895.5,39860.5,39862.5,NaN
1752740700,39862.5,39882.5,39857.5,39870.5,NaN
1752741000,39870.5,39877.5,39860.5,39865.5,NaN
1752741300,39865.5,39882.5,39857.5,39877.5,NaN
1752741600,39877.5,39897.5,39872.5,39892.5,NaN
1752741900,39892.5,39900.5,39875.5,39897.5,NaN
1752742200,39897.5,39900.5,39885.5,39897.5,NaN
1752742500,39897.5,39902.5,39882.5,39885.5,NaN
1752742800,39885.5,39887.5,39872.5,39882.5,NaN
1752743100,39882.5,39882.5,39865.5,39875.5,NaN
1752743400,39875.5,39887.5,39872.5,39877.5,NaN
1752743700,39877.5,39885.5,39872.5,39875.5,NaN
1752744000,39875.5,39882.5,39867.5,39872.5,NaN
1752744300,39872.5,39887.5,39872.5,39885.5,NaN
1752744600,39885.5,39892.5,39877.5,39890.5,NaN
1752744900,39890.5,39895.5,39887.5,39887.5,NaN
1752745200,39887.5,39892.5,39870.5,39880.5,NaN
1752745500,39880.5,39887.5,39877.5,39877.5,NaN
1752745800,39877.5,39880.5,39870.5,39872.5,NaN
1752746100,39872.5,39882.5,39872.5,39880.5,NaN
1752746400,39880.5,39887.5,39875.5,39880.5,NaN
1752746700,39880.5,39882.5,39872.5,39882.5,NaN
1752747000,39882.5,39887.5,39875.5,39882.5,NaN
1752747300,39882.5,39887.5,39877.5,39882.5,NaN
1752747600,39882.5,39882.5,39862.5,39865.5,NaN
1752747900,39865.5,39882.5,39865.5,39882.5,NaN
1752748200,39882.5,39887.5,39865.5,39870.5,NaN
1752748500,39870.5,39872.5,39862.5,39867.5,NaN
1752748800,39867.5,39872.5,39862.5,39862.5,NaN
1752749100,39862.5,39870.5,39847.5,39852.5,NaN
1752749400,39852.5,39855.5,39847.5,39855.5,NaN
1752749700,39855.5,39857.5,39840.5,39847.5,NaN
1752750000,39847.5,39847.5,39825.5,39832.5,NaN
1752750300,39832.5,39847.5,39827.5,39847.5,NaN
1752750600,39847.5,39857.5,39840.5,39847.5,NaN
1752750900,39847.5,39850.5,39827.5,39827.5,NaN
1752751200,39827.5,39837.5,39822.5,39837.5,NaN
1752751500,39837.5,39852.5,39837.5,39842.5,NaN
1752751800,39842.5,39847.5,39820.5,39822.5,NaN
1752752100,39822.5,39830.5,39822.5,39827.5,NaN
1752752400,39827.5,39827.5,39812.5,39817.5,NaN
1752752700,39817.5,39827.5,39812.5,39827.5,NaN
1752753000,39827.5,39832.5,39822.5,39830.5,NaN
1752753300,39830.5,39837.5,39822.5,39832.5,NaN
1752753600,39832.5,39862.5,39827.5,39862.5,NaN
