time,open,high,low,close,Volume
1758500400,45687,45692,45592,45615,NaN
1758500700,45615,45657,45552,45622,NaN
1758501000,45622,45627,45497,45562,NaN
1758501300,45562,45657,45547,45657,NaN
1758501600,45657,45682,45632,45642,NaN
1758501900,45642,45652,45550,45577,NaN
1758502200,45577,45580,45500,45572,NaN
1758502500,45572,45577,45502,45537,NaN
1758502800,45537,45645,45495,45632,NaN
1758503100,45632,45662,45620,45657,NaN
1758503400,45657,45697,45652,45667,NaN
1758503700,45667,45687,45657,45667,NaN
1758504000,45667,45687,45662,45677,NaN
1758504300,45677,45687,45660,45682,NaN
1758504600,45682,45692,45632,45677,NaN
1758504900,45677,45705,45672,45687,NaN
1758505200,45687,45687,45622,45632,NaN
1758505500,45632,45672,45617,45622,NaN
1758505800,45622,45652,45612,45642,NaN
1758506100,45642,45672,45642,45652,NaN
1758506400,45652,45692,45645,45687,NaN
1758506700,45687,45697,45662,45677,NaN
1758507000,45677,45735,45667,45720,NaN
1758507300,45720,45742,45712,45722,NaN
1758507600,45722,45747,45717,45737,NaN
1758507900,45737,45747,45717,45727,NaN
1758508200,45727,45732,45702,45707,NaN
1758508500,45707,45712,45695,45707,NaN
1758508800,45707,45707,45687,45692,NaN
1758509100,45692,45707,45685,45687,NaN
1758509400,45687,45707,45677,45702,NaN
1758509700,45702,45710,45687,45690,NaN
1758510000,45690,45692,45672,45687,NaN
1758510300,45687,45690,45642,45642,NaN
1758510600,45642,45647,45627,45637,NaN
1758510900,45637,45657,45632,45647,NaN
1758511200,45647,45682,45647,45680,NaN
1758511500,45680,45695,45680,45695,NaN
1758511800,45695,45717,45667,45705,NaN
1758512100,45705,45737,45692,45727,NaN
1758512400,45727,45727,45672,45677,NaN
1758512700,45677,45717,45677,45705,NaN
1758513000,45705,45732,45682,45732,NaN
1758513300,45732,45747,45727,45737,NaN
1758513600,45737,45770,45722,45737,NaN
1758513900,45737,45742,45682,45692,NaN
1758514200,45692,45692,45637,45652,NaN
1758514500,45652,45697,45650,45692,NaN
1758514800,45692,45692,45637,45652,NaN
1758515100,45652,45670,45642,45647,NaN
1758515400,45647,45682,45637,45682,NaN
1758515700,45682,45682,45657,45667,NaN
1758516000,45667,45670,45632,45645,NaN
1758516300,45645,45650,45607,45607,NaN
1758516600,45607,45637,45590,45625,NaN
1758516900,45625,45632,45607,45612,NaN
1758517200,45612,45625,45585,45587,NaN
1758517500,45587,45612,45575,45607,NaN
1758517800,45607,45607,45585,45607,NaN
1758518100,45607,45622,45590,45590,NaN
1758518400,45590,45595,45557,45567,NaN
1758518700,45567,45592,45557,45577,NaN
1758519000,45577,45582,45547,45547,NaN
1758519300,45547,45562,45537,45537,NaN
1758519600,45537,45547,45530,45542,NaN
1758519900,45542,45562,45530,45547,NaN
1758520200,45547,45557,45532,45547,NaN
1758520500,45547,45555,45532,45542,NaN
1758520800,45542,45547,45502,45512,NaN
1758521100,45512,45520,45492,45492,NaN
1758521400,45492,45522,45492,45507,NaN
1758521700,45507,45525,45497,45515,NaN
1758522000,45515,45527,45507,45522,NaN
1758522300,45522,45527,45480,45495,NaN
1758522600,45495,45510,45477,45502,NaN
1758522900,45502,45547,45502,45540,NaN
1758523200,45540,45557,45492,45557,NaN
1758523500,45557,45562,45532,45540,NaN
1758523800,45540,45540,45522,45532,NaN
1758524100,45532,45545,45525,45527,NaN
1758524400,45527,45552.5,45514.5,45532.5,NaN
1758524700,45532.5,45552.5,45512.5,45519.5,NaN
1758525000,45519.5,45519.5,45474.5,45482.5,NaN
1758525300,45482.5,45484.5,45419.5,45424.5,NaN
1758525600,45424.5,45454.5,45392.5,45402.5,NaN
1758525900,45402.5,45407.5,45359.5,45359.5,NaN
