time,open,high,low,close,Volume
1749524100,38439,38454,38437,38444,NaN
1749524400,38444,38447,38429,38432,NaN
1749524700,38432,38434,38419,38424,NaN
1749525000,38424,38434,38424,38429,NaN
1749525300,38429,38442,38429,38442,NaN
1749525600,38442,38444,38437,38439,NaN
1749525900,38439,38454,38439,38452,NaN
1749526200,38452,38469,38449,38454,NaN
1749526500,38454,38472,38442,38469,NaN
1749526800,38469,38482,38459,38477,NaN
1749527100,38477,38497,38469,38492,NaN
1749527400,38492,38492,38469,38469,NaN
1749527700,38469,38472,38449,38462,NaN
1749528000,38462,38467,38444,38449,NaN
1749528300,38449,38459,38442,38449,NaN
1749528600,38449,38449,38434,38437,NaN
1749528900,38437,38439,38427,38432,NaN
1749529200,38432,38439,38427,38437,NaN
1749529500,38437,38439,38422,38424,NaN
1749529800,38424,38434,38424,38432,NaN
1749530100,38432,38439,38424,38427,NaN
1749530400,38427,38434,38417,38432,NaN
1749530700,38432,38439,38427,38439,NaN
1749531000,38439,38442,38432,38437,NaN
1749531300,38437,38442,38429,38439,NaN
1749531600,38439,38439,38417,38427,NaN
1749531900,38427,38444,38424,38429,NaN
1749532200,38429,38429,38409,38414,NaN
1749532500,38414,38414,38359,38362,NaN
1749532800,38362,38362,38250,38291,NaN
1749533100,38291,38316,38213,38243,NaN
1749533400,38243,38248,38148,38161,NaN
1749533700,38161,38258,38146,38253,NaN
1749534000,38253,38266,38241,38251,NaN
1749534300,38251,38253,38191,38206,NaN
1749534600,38206,38211,38168,38196,NaN
1749534900,38196,38216,38181,38188,NaN
1749535200,38188,38218,38181,38196,NaN
1749535500,38196,38211,38181,38193,NaN
1749535800,38193,38198,38168,38178,NaN
1749536100,38178,38193,38163,38188,NaN
1749536400,38188,38191,38161,38178,NaN
1749536700,38178,38191,38158,38183,NaN
1749537000,38183,38241,38181,38198,NaN
1749537300,38198,38243,38186,38243,NaN
1749537600,38243,38251,38233,38236,NaN
1749537900,38236,38236,38203,38206,NaN
1749538200,38206,38206,38181,38191,NaN
1749538500,38191,38208,38186,38186,NaN
1749538800,38186,38208.5,38170.5,38198.5,NaN
1749539100,38198.5,38200.5,38180.5,38190.5,NaN
1749539400,38190.5,38210.5,38180.5,38210.5,NaN
1749539700,38210.5,38238.5,38200.5,38228.5,NaN
1749540000,38228.5,38235.5,38215.5,38233.5,NaN
1749540300,38233.5,38243.5,38205.5,38205.5,NaN
1749540600,38205.5,38235.5,38195.5,38223.5,NaN
1749540900,38223.5,38230.5,38185.5,38190.5,NaN
1749541200,38190.5,38193.5,38150.5,38150.5,NaN
1749541500,38150.5,38188.5,38128.5,38175.5,NaN
1749541800,38175.5,38183.5,38150.5,38175.5,NaN
1749542100,38175.5,38218.5,38165.5,38215.5,NaN
1749542400,38215.5,38253.5,38210.5,38228.5,NaN
1749542700,38228.5,38238.5,38215.5,38223.5,NaN
1749543000,38223.5,38230.5,38138.5,38145.5,NaN
1749543300,38145.5,38175.5,38140.5,38160.5,NaN
1749543600,38160.5,38180.5,38153.5,38155.5,NaN
1749543900,38155.5,38168.5,38145.5,38165.5,NaN
1749544200,38165.5,38190.5,38160.5,38180.5,NaN
1749544500,38180.5,38200.5,38180.5,38195.5,NaN
1749544800,38195.5,38198.5,38175.5,38188.5,NaN
1749545100,38188.5,38188.5,38173.5,38178.5,NaN
1749545400,38178.5,38180.5,38145.5,38155.5,NaN
1749545700,38155.5,38170.5,38150.5,38163.5,NaN
1749546000,38163.5,38178.5,38150.5,38168.5,NaN
1749546300,38168.5,38183.5,38163.5,38180.5,NaN
1749546600,38180.5,38190.5,38168.5,38190.5,NaN
1749546900,38190.5,38195.5,38180.5,38185.5,NaN
1749547200,38185.5,38200.5,38185.5,38190.5,NaN
1749547500,38190.5,38203.5,38190.5,38195.5,NaN
1749547800,38195.5,38215.5,38195.5,38205.5,NaN
1749548100,38205.5,38220.5,38205.5,38218.5,NaN
1749548400,38218.5,38225.5,38213.5,38220.5,NaN
1749548700,38220.5,38220.5,38208.5,38213.5,NaN
1749549000,38213.5,38225.5,38205.5,38225.5,NaN
1749549300,38225.5,38228.5,38218.5,38218.5,NaN
1749549600,38218.5,38260.5,38215.5,38255.5,NaN
1749549900,38255.5,38260.5,38235.5,38235.5,NaN
1749550200,38235.5,38245.5,38228.5,38230.5,NaN
1749550500,38230.5,38250.5,38230.5,38248.5,NaN
1749550800,38248.5,38248.5,38240.5,38243.5,NaN
1749551100,38243.5,38245.5,38215.5,38225.5,NaN
1749551400,38225.5,38235.5,38220.5,38233.5,NaN
1749551700,38233.5,38240.5,38225.5,38235.5,NaN
1749552000,38235.5,38240.5,38225.5,38228.5,NaN
1749552300,38228.5,38235.5,38215.5,38218.5,NaN
1749552600,38218.5,38235.5,38215.5,38220.5,NaN
1749552900,38220.5,38243.5,38220.5,38235.5,NaN
1749553200,38235.5,38245.5,38225.5,38243.5,NaN
1749553500,38243.5,38250.5,38200.5,38208.5,NaN
1749553800,38208.5,38218.5,38185.5,38190.5,NaN
1749554100,38190.5,38210.5,38185.5,38205.5,NaN
1749554400,38205.5,38210.5,38193.5,38203.5,NaN
1749554700,38203.5,38208.5,38185.5,38208.5,NaN
1749555000,38208.5,38245.5,38200.5,38235.5,NaN
1749555300,38235.5,38243.5,38223.5,38230.5,NaN
1749555600,38230.5,38238.5,38223.5,38225.5,NaN
1749555900,38225.5,38230.5,38220.5,38230.5,NaN
1749556200,38230.5,38250.5,38225.5,38245.5,NaN
1749556500,38245.5,38255.5,38240.5,38250.5,NaN
1749556800,38250.5,38255.5,38235.5,38235.5,NaN
1749557100,38235.5,38245.5,38230.5,38243.5,NaN
1749557400,38243.5,38253.5,38235.5,38250.5,NaN
1749557700,38250.5,38255.5,38243.5,38245.5,NaN
1749558000,38245.5,38250.5,38235.5,38248.5,NaN
1749558300,38248.5,38255.5,38238.5,38243.5,NaN
